                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1178,                0.63567,                 1.2052,                0.87053,                0.91667,                0.94953,                0.57984,                 1.3305,                0.72726,                 1.3278,              0.0015878,              0.0015878,              0.0015878
                     50,                 1.0874,                0.64732,                 1.2036,                0.97863,                0.97917,                 0.9942,                0.67483,                 1.1797,                0.48959,                 1.2016,              0.0015861,              0.0015861,              0.0015861
                     51,                 1.0784,                0.60719,                 1.1969,                0.99708,                0.95833,                 0.9934,                0.67064,                 1.1404,                0.54687,                 1.2445,              0.0015845,              0.0015845,              0.0015845
                     52,                 1.0358,                0.57692,                 1.1662,                 0.9985,                0.97917,                0.99311,                0.66149,                 1.1753,                0.49884,                 1.2465,              0.0015828,              0.0015828,              0.0015828
                     53,                  1.028,                0.59084,                 1.1541,                      1,                0.91641,                0.94792,                0.63766,                 1.1775,                0.70111,                 1.2631,              0.0015812,              0.0015812,              0.0015812
                     54,                 1.0758,                0.61584,                 1.2023,                0.97585,                0.97917,                0.99236,                 0.7084,                 1.1588,                0.51868,                 1.2257,              0.0015795,              0.0015795,              0.0015795
                     55,                 1.0298,                0.58225,                 1.1547,                      1,                0.99851,                  0.995,                0.70342,                 1.1436,                0.47408,                 1.2238,              0.0015779,              0.0015779,              0.0015779
                     56,                 1.0208,                0.58196,                  1.172,                0.99845,                0.97917,                0.99346,                0.71702,                 1.0418,                0.47996,                 1.1807,              0.0015762,              0.0015762,              0.0015762
                     57,                 1.0479,                0.58936,                 1.1914,                0.97847,                      1,                0.98827,                0.67061,                 1.0765,                0.50196,                 1.2207,              0.0015746,              0.0015746,              0.0015746
                     58,                 1.0649,                0.59762,                 1.1764,                0.95953,                0.98813,                0.99212,                0.69932,                 1.0859,                0.54711,                 1.1776,              0.0015729,              0.0015729,              0.0015729
                     59,                  1.042,                0.57996,                 1.1619,                      1,                0.99796,                  0.995,                0.71738,                 1.0466,                0.46179,                 1.1737,              0.0015713,              0.0015713,              0.0015713
                     60,                 1.0571,                0.60468,                  1.195,                0.95903,                0.97548,                0.99222,                  0.699,                 1.0745,                0.48179,                 1.2026,              0.0015696,              0.0015696,              0.0015696
                     61,                 1.0401,                 0.6017,                 1.1724,                0.94165,                0.97917,                0.98349,                0.71632,                 1.0922,                0.52006,                 1.1909,               0.001568,               0.001568,               0.001568
                     62,                 1.0216,                0.57234,                 1.1571,                0.97589,                      1,                0.99418,                0.72187,                 1.0357,                0.48179,                 1.1792,              0.0015663,              0.0015663,              0.0015663
                     63,                 1.0255,                0.56447,                 1.1504,                 0.9999,                      1,                  0.995,                0.68524,                 1.1066,                0.46366,                 1.2512,              0.0015647,              0.0015647,              0.0015647
                     64,                 1.0472,                0.57908,                 1.1693,                0.99786,                      1,                  0.995,                0.71857,                 1.0157,                0.44406,                 1.1657,               0.001563,               0.001563,               0.001563
                     65,                 1.0336,                0.59476,                 1.1555,                      1,                0.97552,                0.99459,                0.71646,                 1.0555,                0.47696,                 1.2189,              0.0015614,              0.0015614,              0.0015614
                     66,                 1.0007,                0.56826,                 1.1463,                0.99326,                      1,                  0.995,                0.67758,                 1.1022,                0.48092,                 1.2438,              0.0015597,              0.0015597,              0.0015597
                     67,                  1.025,                0.59116,                 1.1748,                0.99633,                      1,                  0.995,                0.67544,                 1.1845,                0.46857,                   1.27,              0.0015581,              0.0015581,              0.0015581
                     68,                 1.0236,                0.57697,                 1.1602,                0.95441,                0.87233,                0.96505,                0.66372,                 1.1151,                0.60654,                 1.2648,              0.0015564,              0.0015564,              0.0015564
                     69,                 1.0391,                0.57852,                 1.1479,                0.97614,                0.97917,                 0.9942,                0.73049,                   1.02,                0.45935,                 1.1821,              0.0015548,              0.0015548,              0.0015548
                     70,                0.99726,                0.56743,                 1.1516,                0.99798,                      1,                  0.995,                0.73003,                 1.0175,                0.43301,                 1.1742,              0.0015531,              0.0015531,              0.0015531
                     71,                 1.0239,                0.58041,                 1.1729,                0.93949,                      1,                0.99137,                0.73681,                  1.015,                0.47102,                 1.1579,              0.0015515,              0.0015515,              0.0015515
                     72,                 1.0273,                0.58173,                 1.1605,                0.99974,                0.97917,                0.98852,                 0.7162,                 1.0584,                0.47423,                 1.1862,              0.0015498,              0.0015498,              0.0015498
                     73,                0.99797,                0.56381,                 1.1639,                0.99691,                0.95833,                0.98836,                0.71876,                 1.0544,                0.47728,                 1.1705,              0.0015482,              0.0015482,              0.0015482
                     74,                0.98118,                0.56397,                 1.1427,                0.95707,                      1,                0.97183,                0.67788,                 1.0939,                0.48095,                 1.2107,              0.0015465,              0.0015465,              0.0015465
                     75,                0.99489,                0.56024,                 1.1631,                 0.9792,                0.98057,                0.99459,                0.68412,                 1.1415,                0.66781,                 1.2319,              0.0015449,              0.0015449,              0.0015449
                     76,                 1.0148,                0.56516,                 1.1519,                0.99441,                      1,                  0.995,                0.68674,                 1.1488,                 0.4919,                 1.2338,              0.0015432,              0.0015432,              0.0015432
                     77,                 1.0176,                0.55347,                 1.1762,                0.97474,                      1,                0.97561,                0.70319,                  1.041,                 0.4825,                 1.2032,              0.0015416,              0.0015416,              0.0015416
                     78,                 1.0036,                0.55406,                 1.1618,                 0.9772,                      1,                0.99459,                0.71204,                 1.0508,                0.44636,                 1.1902,              0.0015399,              0.0015399,              0.0015399
                     79,                 1.0184,                0.56747,                 1.1593,                      1,                0.99972,                  0.995,                0.69911,                 1.0412,                0.45149,                 1.1888,              0.0015383,              0.0015383,              0.0015383
                     80,                0.98553,                 0.5361,                  1.144,                0.95254,                0.95833,                0.98643,                0.71416,                 1.0941,                0.55677,                 1.2051,              0.0015366,              0.0015366,              0.0015366
                     81,                  1.023,                0.57784,                 1.1585,                 0.9988,                      1,                  0.995,                0.69979,                 1.1373,                0.46888,                 1.2263,               0.001535,               0.001535,               0.001535
                     82,                0.99739,                0.55806,                 1.1563,                0.99942,                0.97917,                0.99459,                0.69224,                 1.0828,                0.46606,                 1.2094,              0.0015333,              0.0015333,              0.0015333
                     83,                 1.0036,                0.54714,                 1.1503,                0.99833,                      1,                  0.995,                 0.7095,                 1.1343,                0.46874,                 1.2334,              0.0015317,              0.0015317,              0.0015317
                     84,                0.99291,                0.55426,                 1.1575,                      1,                0.99894,                  0.995,                  0.686,                 1.1294,                0.46364,                 1.2487,                0.00153,                0.00153,                0.00153
                     85,                 1.0102,                0.54205,                 1.1472,                0.99835,                      1,                  0.995,                0.67042,                 1.2041,                0.48566,                 1.2981,              0.0015284,              0.0015284,              0.0015284
                     86,                  1.026,                 0.5481,                 1.1569,                0.97943,                      1,                0.99459,                0.67955,                 1.0883,                0.45506,                 1.2388,              0.0015267,              0.0015267,              0.0015267
                     87,                 1.0228,                0.55662,                 1.1757,                0.95163,                      1,                0.99296,                0.72931,                 1.0246,                0.47311,                 1.1969,              0.0015251,              0.0015251,              0.0015251
                     88,                0.98206,                0.52965,                 1.1375,                0.91383,                0.88386,                0.98002,                0.64586,                 1.2835,                0.87988,                 1.3234,              0.0015234,              0.0015234,              0.0015234
                     89,                0.99919,                0.56936,                 1.1552,                0.97916,                0.97884,                0.99299,                0.69715,                 1.1278,                0.50423,                 1.2327,              0.0015218,              0.0015218,              0.0015218
                     90,                 1.0061,                0.53849,                  1.137,                0.99187,                      1,                  0.995,                0.73554,                 1.0263,                 0.4128,                 1.1564,              0.0015201,              0.0015201,              0.0015201
                     91,                0.99587,                0.53485,                 1.1256,                0.99296,                      1,                  0.995,                0.69858,                 1.1072,                0.43799,                 1.1777,              0.0015185,              0.0015185,              0.0015185
                     92,                0.94918,                0.53227,                 1.1213,                0.99641,                      1,                  0.995,                0.71784,                 1.0578,                0.43574,                 1.2002,              0.0015168,              0.0015168,              0.0015168
                     93,                0.93309,                0.50398,                 1.1248,                0.97853,                      1,                0.99459,                0.68084,                 1.1341,                 0.4741,                 1.2735,              0.0015152,              0.0015152,              0.0015152
                     94,                0.98642,                0.53371,                 1.1327,                0.99782,                      1,                  0.995,                0.68991,                 1.1177,                0.45201,                 1.2216,              0.0015135,              0.0015135,              0.0015135
                     95,                0.99376,                 0.5247,                 1.1315,                0.99819,                      1,                  0.995,                 0.7131,                 1.0906,                0.42803,                  1.235,              0.0015119,              0.0015119,              0.0015119
                     96,                0.96817,                0.52173,                  1.125,                0.98958,                      1,                  0.995,                 0.7186,                 1.0397,                0.42266,                 1.1998,              0.0015102,              0.0015102,              0.0015102
                     97,                 0.9727,                0.54483,                 1.1393,                0.99613,                      1,                  0.995,                0.72456,                 1.0198,                0.42678,                 1.1942,              0.0015086,              0.0015086,              0.0015086
                     98,                0.96633,                0.54093,                 1.1245,                0.97731,                      1,                0.99337,                0.69733,                 1.1621,                0.47561,                 1.2461,              0.0015069,              0.0015069,              0.0015069
                     99,                0.94311,                 0.5195,                  1.122,                0.97795,                      1,                0.99459,                0.72069,                 1.0803,                0.44091,                 1.1965,              0.0015053,              0.0015053,              0.0015053
                    100,                0.96457,                0.53731,                 1.1504,                      1,                0.97438,                 0.9942,                 0.6953,                  1.126,                0.45343,                 1.2439,              0.0015036,              0.0015036,              0.0015036
