                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.65409,                0.49371,                0.91504,                0.96525,                0.94168,                0.98009,                0.81998,                0.68327,                0.48204,                0.96792,              0.0019089,              0.0019089,              0.0019089
                     48,                0.65658,                0.53759,                0.94138,                0.97943,                0.98305,                0.99332,                0.81079,                0.67542,                0.42476,                0.97523,              0.0019069,              0.0019069,              0.0019069
                     49,                0.60261,                0.47092,                0.89423,                0.99864,                0.97458,                0.99426,                0.82402,                0.66042,                0.42042,                 0.9543,               0.001905,               0.001905,               0.001905
                     50,                0.62696,                0.46443,                0.88271,                0.98242,                0.99153,                0.99458,                0.82869,                0.68595,                0.40637,                0.96766,               0.001903,               0.001903,               0.001903
                     51,                0.62743,                0.48285,                0.91319,                0.98303,                0.98176,                0.99234,                0.83106,                0.67026,                0.43509,                0.97171,               0.001901,               0.001901,               0.001901
                     52,                 0.6191,                0.44814,                0.90027,                0.97493,                0.98887,                0.98798,                0.81855,                0.69432,                0.45131,                 0.9619,               0.001899,               0.001899,               0.001899
                     53,                 0.6341,                0.45951,                0.91584,                0.97326,                0.98305,                0.98675,                0.82487,                0.66859,                0.43979,                0.94367,               0.001897,               0.001897,               0.001897
                     54,                0.64454,                0.46954,                 0.9232,                0.97679,                0.97458,                0.99068,                0.85079,                0.59449,                0.45706,                0.92618,              0.0018951,              0.0018951,              0.0018951
                     55,                 0.6177,                0.46036,                0.91711,                0.97452,                0.97458,                0.99352,                0.84014,                0.58942,                0.44381,                0.92797,              0.0018931,              0.0018931,              0.0018931
                     56,                0.62583,                0.46427,                 0.9105,                0.95906,                0.94915,                0.97504,                0.82408,                0.66297,                0.46946,                0.96599,              0.0018911,              0.0018911,              0.0018911
                     57,                0.58167,                0.44102,                 0.9401,                0.96578,                0.95679,                0.97682,                0.83163,                 0.6459,                0.42696,                0.95641,              0.0018891,              0.0018891,              0.0018891
                     58,                 0.5795,                0.44677,                0.91077,                 0.9829,                0.97403,                0.99164,                0.84648,                0.60943,                0.38459,                0.92257,              0.0018871,              0.0018871,              0.0018871
                     59,                0.68935,                0.45951,                0.92594,                0.99055,                0.97458,                0.99379,                0.82775,                0.65351,                0.37793,                0.94026,              0.0018852,              0.0018852,              0.0018852
                     60,                0.56866,                0.42298,                0.88633,                0.99129,                  0.965,                0.98441,                0.83426,                0.64277,                 0.3748,                0.96111,              0.0018832,              0.0018832,              0.0018832
                     61,                0.58499,                0.43138,                0.89562,                      1,                0.95742,                0.98482,                0.84234,                0.60024,                0.37317,                0.92293,              0.0018812,              0.0018812,              0.0018812
                     62,                0.56557,                0.41406,                0.88121,                0.99087,                0.97458,                0.98498,                0.84187,                0.63535,                 0.3648,                0.94612,              0.0018792,              0.0018792,              0.0018792
                     63,                0.62626,                0.44326,                0.89095,                0.99121,                0.95615,                0.98492,                0.83403,                0.63544,                0.38562,                0.94244,              0.0018772,              0.0018772,              0.0018772
                     64,                0.56058,                0.42711,                0.89148,                0.98302,                0.99153,                0.99475,                0.84816,                0.59241,                0.35906,                0.91533,              0.0018753,              0.0018753,              0.0018753
                     65,                0.65555,                 0.4675,                0.92066,                0.99742,                0.98305,                0.98966,                0.85244,                0.60764,                0.37599,                0.92507,              0.0018733,              0.0018733,              0.0018733
                     66,                0.66204,                0.44232,                0.93202,                0.94968,                0.95958,                0.98002,                0.81182,                0.69234,                0.41166,                0.98243,              0.0018713,              0.0018713,              0.0018713
                     67,                0.56768,                0.41936,                0.89431,                0.96655,                0.97955,                0.98389,                0.84085,                0.66442,                0.39915,                0.96985,              0.0018693,              0.0018693,              0.0018693
                     68,                0.62376,                0.42426,                0.90096,                0.97475,                0.98127,                0.98445,                0.84353,                0.61922,                0.37465,                0.94525,              0.0018673,              0.0018673,              0.0018673
                     69,                0.59345,                0.40652,                0.87701,                      1,                0.94642,                0.98405,                 0.8185,                0.66731,                0.40155,                0.97028,              0.0018654,              0.0018654,              0.0018654
                     70,                0.63773,                0.47843,                0.92271,                0.98809,                0.95763,                0.97687,                0.81917,                0.67629,                0.48655,                0.95874,              0.0018634,              0.0018634,              0.0018634
                     71,                0.59193,                0.43298,                0.90818,                0.97477,                0.98244,                0.98578,                0.83958,                0.61678,                0.38193,                0.94588,              0.0018614,              0.0018614,              0.0018614
                     72,                0.56858,                0.40092,                0.88902,                0.98311,                0.98665,                0.99423,                0.82969,                 0.6421,                 0.3703,                0.95315,              0.0018594,              0.0018594,              0.0018594
                     73,                0.58852,                0.45246,                 0.9213,                0.97314,                0.98305,                0.99347,                0.84593,                 0.6509,                0.37954,                0.94311,              0.0018574,              0.0018574,              0.0018574
                     74,                0.54354,                0.40719,                0.89304,                0.98143,                0.94915,                0.97321,                0.83252,                0.63993,                0.42309,                 0.9386,              0.0018555,              0.0018555,              0.0018555
                     75,                0.59441,                0.42762,                0.89973,                0.96444,                0.94915,                0.96971,                0.79913,                0.69557,                0.44986,                0.97167,              0.0018535,              0.0018535,              0.0018535
